"Affy133aProbeID","Gene.Symbol.x","LocusLink.x","pvalueCox55","HazardRatio55","HR55lower95","HR55upper95","HR.SD55","pvalueCox65","HazardRatio65","HR65lower95","HR65upper95","ModuleColor55","HR.SD65","colorh1","GS55","kTotal","kWithin","kOut","kDiff","GS65","kTotal.1","kWithin.1","kOut.1","kDiff.1"
"218084_x_at","FXYD5","53827",0.0893,0.993,0.57,1.73,0.283,0.656,1.15,0.697,1.91,"blue",0.258,"blue",1.04914854111145,36.8323499854544,18.2577782005554,18.5745717848991,-0.316793584343706,0.183096160624340,25.0672512236705,17.1730739293105,7.89417729436004,9.27889663495042
"218089_at","C20orf4","25980",0.576,0.829,0.474,1.45,0.286,0.00867,2.15,1.24,3.73,"grey",0.28,"grey",0.239577516576788,13.6015060957052,5.57416815058741,8.02733794511777,-2.45316979453037,2.06198090252379,11.2197416350298,4.90077083993244,6.3189707950974,-1.41819995516496
"218094_s_at","C20orf35","55861",0.104,1.89,1.08,3.32,0.287,0.62,1.01,0.604,1.67,"green",0.26,"green",0.98296666070122,81.2482909220686,45.5853209194601,35.6629700026086,9.92235091685149,0.207608310501746,43.7146964603707,30.0766229955048,13.6380734648659,16.4385495306389
"218095_s_at","TPARL","55858",0.243,1.19,0.681,2.08,0.284,0.025,1.28,0.767,2.13,"grey",0.26,"grey",0.614393726401688,15.1685877006441,6.68437733789145,8.48421036275269,-1.79983302486124,1.60205999132796,1.21836282653734,0.569935658672193,0.648427167865142,-0.0784915091929497
"218097_s_at","CUEDC2","79004",0.268,0.541,0.306,0.956,0.291,0.891,0.962,0.581,1.59,"grey",0.258,"grey",0.571865205971211,18.8420348404113,10.1383907067990,8.70364413361233,1.43474657318662,0.0501222959631252,6.56639217228802,3.62567106228512,2.94072111000290,0.684949952282213
"218098_at","SNAP23P","170549",0.451,1.37,0.784,2.4,0.285,0.971,0.946,0.567,1.58,"turquoise",0.261,"turquoise",0.345823458122039,89.1232135960782,79.176763222334,9.9464503737443,69.2303128485896,0.0127807700919951,67.7657444769979,61.8225704312497,5.9431740457482,55.8793963855015
"218099_at","HT008","55852",0.497,1.14,0.655,2,0.284,0.356,1.14,0.684,1.89,"green",0.259,"green",0.303643611266668,22.7405694948357,6.40348296532675,16.3370865295089,-9.93360356418217,0.448550002027125,11.2261820748790,1.36968425927717,9.8564978156018,-8.48681355632462
"218107_at","WDR26","80232",0.77,0.929,0.533,1.62,0.284,0.11,0.69,0.411,1.16,"grey",0.265,"grey",0.113509274827518,47.7841955951324,15.1006063947654,32.683589200367,-17.5829828056015,0.958607314841775,11.2772445346292,4.35858428523085,6.91866024939835,-2.56007596416750
"218109_s_at","FLJ14153","64747",0.71,0.806,0.461,1.41,0.285,0.838,1.15,0.693,1.9,"blue",0.257,"blue",0.148741651280925,140.954901580881,111.430400299993,29.5245012808874,81.9058990191061,0.0767559813697235,72.4626077630708,53.3855931267803,19.0770146362905,34.3085784904898
"218110_at","XAB2","56949",0.0324,0.423,0.236,0.76,0.299,0.256,1.32,0.792,2.21,"grey",0.262,"grey",1.48945498979339,19.8161829753458,8.78793019110437,11.0282527842414,-2.24032259313703,0.59176003468815,1.75565802682514,0.930898419875006,0.82475960695013,0.106138812924877
"218113_at","TMEM2","23670",0.0866,1.07,0.609,1.88,0.287,0.0719,1.34,0.805,2.23,"blue",0.26,"blue",1.06248210798265,48.3700078289842,31.4835597189483,16.8864481100359,14.5971116089124,1.14327110961712,7.85803698648614,3.02327333594564,4.8347636505405,-1.81149031459486
"218121_at","HMOX2","3163",0.871,0.905,0.518,1.58,0.285,0.789,0.956,0.575,1.59,"turquoise",0.259,"turquoise",0.0599818449923368,101.354415469951,75.4128170091182,25.9415984608329,49.4712185482853,0.102922996790580,16.6300694674684,11.3733833172010,5.25668615026744,6.11669716693353
"218122_s_at","SENP2","59343",0.626,1.3,0.74,2.27,0.286,0.313,0.823,0.493,1.38,"turquoise",0.262,"turquoise",0.203425666789570,39.8003093992797,25.0792934969258,14.7210159023539,10.3582775945718,0.504455662453551,2.86117153978985,1.24722714711219,1.61394439267766,-0.366717245565468
"218125_s_at","FLJ10853","55246",0.606,0.762,0.433,1.34,0.288,0.31,0.95,0.573,1.57,"turquoise",0.257,"turquoise",0.217527375833714,34.5711474604228,23.3528547499425,11.2182927104802,12.1345620394623,0.508638306165727,20.3824137970594,15.0222094486893,5.36020434837003,9.6620051003193
"218127_at","NFYB","4801",0.798,0.857,0.489,1.5,0.286,0.742,0.968,0.584,1.6,"grey",0.258,"grey",0.0979971086492705,16.2986866826448,6.97593049809852,9.32275618454626,-2.34682568644774,0.129596094720973,35.7767151345145,9.4939142690488,26.2828008654657,-16.7888865964169
"218130_at","MGC4368","79415",0.272,0.769,0.439,1.35,0.285,0.203,1.52,0.914,2.52,"grey",0.259,"grey",0.565431095965801,28.2131644931192,10.8415848694347,17.3715796236844,-6.5299947542497,0.692503962086787,25.1683036961080,9.02556343359507,16.1427402625130,-7.1171768289179
"218131_s_at","p66alpha","54815",0.949,1.03,0.586,1.8,0.286,0.403,1.48,0.894,2.46,"turquoise",0.258,"turquoise",0.0227337875727073,39.5982009281325,22.3866837999618,17.2115171281708,5.175166671791,0.394694953858890,32.7751001421259,25.8634147969734,6.91168534515245,18.951729451821
"218132_s_at","LENG5","79042",0.261,0.879,0.503,1.53,0.285,0.0994,1.47,0.883,2.44,"grey",0.259,"grey",0.583359492661719,34.5666664632832,14.5158917507133,20.0507747125698,-5.53488296185652,1.00261361560269,22.6162154582210,10.0406677073734,12.5755477508476,-2.53488004347419
"218133_s_at","NIF3L1","60491",0.476,1.01,0.581,1.76,0.283,0.421,0.805,0.481,1.35,"grey",0.262,"grey",0.322393047279507,12.3734686418490,6.4057341125509,5.96773452929806,0.437999583252841,0.375717904164332,0.401279682330147,0.244857914687688,0.156421767642459,0.0884361470452287
"218138_at","MKKS","8195",0.991,0.92,0.528,1.6,0.284,0.0934,1,0.602,1.66,"turquoise",0.259,"turquoise",0.00392634551472467,32.6323831296514,22.7723459844836,9.86003714516786,12.9123088393157,1.02965312376991,2.88385912486720,2.51736735802031,0.366491766846892,2.15087559117342
"218139_s_at","C14orf108","55745",0.53,0.664,0.377,1.17,0.288,0.364,1.43,0.859,2.36,"grey",0.258,"grey",0.275724130399211,22.8070134828981,6.82165822883662,15.9853552540615,-9.16369702522487,0.438898616350944,1.47100304817594,0.56185198784805,0.90915106032789,-0.34729907247984
"218142_s_at","CRBN","51185",0.427,1.21,0.691,2.12,0.286,0.379,0.752,0.451,1.25,"turquoise",0.261,"turquoise",0.369572124974976,63.1989479981432,46.7248612293628,16.4740867687804,30.2507744605823,0.421360790031928,34.2980621557191,22.3499286863725,11.9481334693466,10.4017952170258
"218143_s_at","SCAMP2","10066",0.164,0.9,0.513,1.58,0.287,0.121,0.768,0.461,1.28,"grey",0.261,"grey",0.785156151952302,31.0433833069356,9.02439992622845,22.0189833807072,-12.9945834544787,0.91721462968355,16.8636388924152,4.21928478359356,12.6443541088216,-8.42506932522809
"218151_x_at","FLJ11856","79581",0.481,1.29,0.738,2.26,0.286,0.21,1.48,0.882,2.48,"grey",0.263,"grey",0.317854923626168,14.5757769567831,8.2606597036518,6.31511725313132,1.94554245052047,0.67778070526608,20.6873203080639,9.37856314864876,11.3087571594152,-1.93019401076642
"218154_at","GSDMDC1","79792",0.508,0.903,0.518,1.58,0.284,0.422,1.2,0.722,2,"grey",0.26,"grey",0.294136287716081,66.3352961698414,34.6823282889707,31.6529678808706,3.02936040810008,0.374687549038326,42.2878187535894,20.3855680894264,21.9022506641630,-1.51668257473663
"218156_s_at","FLJ10534","55720",0.735,0.864,0.494,1.51,0.285,0.393,1.19,0.719,1.97,"grey",0.258,"grey",0.133712660915805,42.3809652581968,9.0118017176029,33.3691635405939,-24.3573618229910,0.405607449624573,4.12344474893628,1.62870150344732,2.49474324548896,-0.86604174204164
"218160_at","NDUFA8","4702",0.0723,1.6,0.907,2.81,0.288,0.597,0.922,0.557,1.53,"turquoise",0.257,"turquoise",1.14086170270547,73.8092466855359,62.03485258432,11.7743941012158,50.2604584831042,0.224025668870631,11.5544628932835,10.3050774828766,1.24938541040696,9.0556920724696
"218162_at","OLFML3","56944",0.335,1.04,0.598,1.82,0.283,0.591,1.21,0.728,2.02,"grey",0.261,"grey",0.474955192963155,29.9959902798618,15.8135405244965,14.1824497553653,1.63109076913115,0.228412519118745,37.7329949825554,7.82168782660342,29.911307155952,-22.0896193293486
"218175_at","FLJ22471","80212",0.0322,1.45,0.827,2.56,0.288,0.495,0.639,0.383,1.07,"turquoise",0.261,"turquoise",1.49214412830417,158.794778326413,140.192483580163,18.6022947462507,121.590188833912,0.305394801066431,117.402284631862,102.278120050455,15.1241645814073,87.1539554690476
"218181_s_at","MAP4K4","9448",0.386,1.05,0.595,1.85,0.289,0.488,0.846,0.51,1.4,"grey",0.258,"grey",0.413412695328245,17.7945201692564,10.9873853719615,6.80713479729485,4.18025057466668,0.311580177997289,3.19841659286272,2.26857167692454,0.929844915938182,1.33872676098636
"218184_at","TULP4","56995",0.0477,1.4,0.799,2.45,0.286,0.37,0.533,0.315,0.9,"turquoise",0.268,"turquoise",1.32148162095989,207.504988558917,166.874697940344,40.6302906185732,126.244407321770,0.431798275933005,141.939535905825,116.291769029285,25.6477668765401,90.6440021527449
"218189_s_at","NANS","54187",0.0536,1.84,1.03,3.3,0.298,0.0589,1.71,1.02,2.85,"grey",0.262,"grey",1.27083521030723,12.4012909379906,3.93783754671270,8.46345339127787,-4.52561584456516,1.22988470521290,18.0895118813551,7.38651062233368,10.7030012590214,-3.3164906366877
"218192_at","IHPK2","51447",0.209,1,0.572,1.75,0.285,0.593,1.35,0.811,2.26,"grey",0.261,"grey",0.679853713888946,20.7256110955955,6.43835580286652,14.2872552927289,-7.84889948986241,0.226945306635737,0.644016581389411,0.373040359752495,0.270976221636916,0.102064138115578
"218193_s_at","CGI-141","51026",0.184,1.28,0.729,2.23,0.285,0.417,1.25,0.75,2.08,"grey",0.26,"grey",0.735182176990463,19.6404266383332,7.94141259329262,11.6990140450406,-3.75760145174802,0.379863945026242,1.64913236138238,1.00677218059706,0.642360180785326,0.36441199981173
"218194_at","DKFZP566E144","25996",0.242,1.43,0.808,2.53,0.291,0.519,0.842,0.507,1.4,"blue",0.258,"blue",0.616184634019569,59.6024052443892,36.0679228297025,23.5344824146867,12.5334404150158,0.284832642151542,26.7952660733603,9.15938687343765,17.6358791999226,-8.476492326485
"218196_at","OSTM1","28962",0.668,1.12,0.642,1.95,0.284,0.783,1.03,0.616,1.72,"blue",0.261,"blue",0.175223537524454,30.3126438352472,22.9392007859289,7.37344304931833,15.5657577366105,0.106238237942057,13.0705758236381,6.98238911167799,6.08818671196014,0.89420239971785
"218197_s_at","OXR1","55074",0.996,1.13,0.65,1.98,0.284,0.649,1.14,0.685,1.9,"turquoise",0.26,"turquoise",0.00174066157630127,129.643643106616,112.872388901705,16.771254204912,96.1011346967925,0.187755303199631,78.3738576449662,71.2332385661855,7.14061907878066,64.0926194874049
"218208_at","PQLC1","80148",0.334,1.44,0.821,2.54,0.288,0.448,0.807,0.488,1.34,"turquoise",0.257,"turquoise",0.476253533188436,62.611593234794,53.3290015964859,9.28259163830815,44.0464099581778,0.348721986001856,27.9321828932605,25.2013756277018,2.73080726555876,22.470568362143
"218217_at","SCPEP1","59342",0.162,1.63,0.927,2.88,0.289,0.932,1.26,0.756,2.1,"blue",0.26,"blue",0.790484985457369,86.7820488876279,69.4399020898849,17.342146797743,52.0977552921419,0.0305840876460186,53.219389506019,41.5835362073369,11.6358532986822,29.9476829086547
"218220_at","C12orf10","60314",0.184,1.42,0.806,2.5,0.288,0.167,1.33,0.795,2.21,"turquoise",0.261,"turquoise",0.735182176990463,34.7275729910539,26.4795691861191,8.24800380493479,18.2315653811843,0.777283528852417,4.14079116596166,1.13287670382282,3.00791446213884,-1.87503775831602
"218224_at","PNMA1","9240",0.112,0.737,0.417,1.3,0.29,0.718,1.02,0.614,1.68,"grey",0.257,"grey",0.950781977329818,23.6367282620647,5.22542210413262,18.4113061579320,-13.1858840537994,0.143875555757700,34.7565677236204,3.96787876383606,30.7886889597844,-26.8208101959483
"218225_at","SITPEC","51295",0.31,0.9,0.515,1.57,0.284,0.655,1.09,0.655,1.81,"grey",0.259,"grey",0.508638306165727,20.0606865089819,8.64026185131011,11.4204246576718,-2.78016280636167,0.183758700008217,2.32293208817506,1.41583973304900,0.907092355126058,0.508747377922945
"218229_s_at","POGK","57645",0.105,0.73,0.415,1.28,0.288,0.434,0.736,0.444,1.22,"grey",0.259,"grey",0.978810700930062,14.2842128360400,7.86231370355758,6.42189913248245,1.44041457107513,0.362510270487489,4.45435926413294,2.43621051695537,2.01814874717757,0.418061769777802
